Bratislava - Stare Mesto;39 187;24 952;63,67;24 931;24 836
Bratislava - Podunajske Biskupice;20 042;10 378;51,78;10 375;10 271
Bratislava - Ruzinov;66 641;40 628;60,96;40 605;40 452
Bratislava - Vrakuna;17 536;8 954;51,06;8 953;8 916
Bratislava - Nove Mesto;35 131;21 726;61,84;21 719;21 629
Bratislava - Raca;19 953;11 768;58,97;11 759;11 710
Bratislava - Vajnory;4 649;2 877;61,88;2 877;2 863
Bratislava - Devin;1 405;957;68,11;956;952
Bratislava - Devinska Nova Ves;14 162;8 244;58,21;8 236;8 205
Bratislava - Dubravka;31 278;17 572;56,18;17 567;17 491
Bratislava - Karlova Ves;30 273;18 848;62,26;18 836;18 769
Bratislava - Lamac;6 198;4 078;65,79;4 078;4 065
Bratislava - Zahorska Bystrica;4 338;3 001;69,17;2 999;2 987
Bratislava - Cunovo;1 212;866;71,45;866;863
Bratislava - Jarovce;2 055;1 430;69,58;1 430;1 426
Bratislava - Petrzalka;94 260;53 855;57,13;53 826;53 648
Bratislava - Rusovce;3 371;2 230;66,15;2 221;2 210
Borinka;644;412;63,97;412;412
Gajary;2 468;1 018;41,24;1 018;1 013
Jablonove;1 074;638;59,4;638;635
Jakubov;1 326;660;49,77;659;656
Kostoliste;1 223;687;56,17;687;682
Kuchyna;1 444;738;51,1;738;731
Lab;1 502;882;58,72;882;878
Lozorno;2 556;1 275;49,88;1 275;1 266
Malacky;15 201;7 764;51,07;7 763;7 724
Male Levare;1 110;445;40,09;445;438
Marianka;1 635;1 104;67,52;1 104;1 104
Pernek;723;393;54,35;393;392
Plavecke Podhradie;586;313;53,41;313;310
Plavecky Mikulas;622;398;63,98;398;394
Plavecky Stvrtok;1 979;868;43,86;868;864
Rohoznik;2 889;1 357;46,97;1 357;1 350
Solosnica;1 340;724;54,02;724;720
Studienka;1 438;686;47,7;686;685
Stupava;9 249;5 630;60,87;5 626;5 604
Suchohrad;581;293;50,43;293;292
Velke Levare;3 036;1 367;45,02;1 367;1 356
Vysoka pri Morave;1 840;902;49,02;902;899
Zahorie (vojensky obvod);140;66;47,14;66;65
Zahorska Ves;1 497;560;37,4;560;556
Zavod;2 367;991;41,86;991;986
Zohor;2 700;1 417;52,48;1 417;1 413
Bahon;1 532;868;56,65;868;864
Budmerice;1 944;1 066;54,83;1 066;1 058
Casta;1 908;1 110;58,17;1 110;1 106
Dolany;903;622;68,88;622;619
Dubova;927;595;64,18;595;591
Jablonec;801;458;57,17;458;456
Limbach;1 667;1 140;68,38;1 140;1 140
Modra;7 805;4 711;60,35;4 709;4 695
Pezinok;19 823;12 520;63,15;12 518;12 471
Pila;297;179;60,26;179;179
Slovensky Grob;3 269;2 101;64,27;2 101;2 093
Svaty Jur;4 707;2 799;59,46;2 796;2 779
Senkvice;4 112;2 541;61,79;2 540;2 530
Stefanova;308;179;58,11;179;178
Vinicne;2 034;1 375;67,6;1 375;1 369
Vinosady;1 120;764;68,21;764;762
Vistuk;1 147;623;54,31;623;618
Bernolakovo;6 048;3 769;62,31;3 769;3 754
Blatne;1 381;824;59,66;824;820
Boldog;404;245;60,64;245;244
Cataj;967;615;63,59;615;614
Dunajska Luzna;5 085;3 238;63,67;3 237;3 227
Hamuliakovo;1 858;1 063;57,21;1 062;1 062
Hruba Borsa;808;533;65,96;533;531
Hruby Sur;753;438;58,16;438;436
Hurbanova Ves;317;200;63,09;200;200
Chorvatsky Grob;4 552;3 029;66,54;3 029;3 023
Igram;480;267;55,62;267;265
Ivanka pri Dunaji;5 308;3 416;64,35;3 407;3 391
Kalinkovo;1 126;697;61,9;697;691
Kaplna;703;399;56,75;399;393
Kostolna pri Dunaji;546;337;61,72;337;334
Kralova pri Senci;1 612;1 002;62,15;1 002;993
Malinovo;2 736;1 751;63,99;1 751;1 741
Miloslavov;2 336;1 634;69,94;1 633;1 624
Most pri Bratislave;2 644;1 648;62,32;1 648;1 642
Nova Dedinka;2 150;1 295;60,23;1 295;1 289
Novy Svet;82;56;68,29;56;56
Reca;1 255;658;52,43;658;648
Rovinka;3 268;2 054;62,85;2 054;2 049
Senec;15 285;8 200;53,64;8 199;8 156
Tomasov;2 124;1 163;54,75;1 163;1 158
Turen;920;521;56,63;521;518
Velky Biel;2 164;1 190;54,99;1 190;1 186
Vlky;372;212;56,98;212;209
Zalesie;1 529;1 079;70,56;1 079;1 078
Bac;472;248;52,54;248;238
Baka;973;295;30,31;293;290
Balon;619;156;25,2;156;154
Bellova Ves;256;135;52,73;135;134
Blahova;308;167;54,22;167;166
Blatna na Ostrove;766;322;42,03;322;320
Bodiky;286;135;47,2;135;135
Bohelov;296;102;34,45;102;101
Cakany;504;269;53,37;269;267
Cenkovce;902;367;40,68;367;367
Cilizska Radvan;986;184;18,66;184;182
Dobrohost;433;216;49,88;216;215
Dolny Bar;597;198;33,16;197;196
Dolny Stal;1 624;409;25,18;409;406
Dunajska Streda;19 293;6 041;31,31;6 034;5 991
Dunajsky Klatov;578;149;25,77;149;148
Gabcikovo;4 332;1 204;27,79;1 204;1 194
Holice;1 770;602;34,01;602;598
Horna Poton;1 731;601;34,71;601;601
Horne Myto;782;159;20,33;159;157
Horny Bar;1 053;438;41,59;438;437
Hubice;526;273;51,9;273;271
Hviezdoslavov;1 379;886;64,24;886;883
Jahodna;1 398;339;24,24;339;336
Janiky;755;414;54,83;414;411
Jurova;397;140;35,26;140;140
Klucovec;311;92;29,58;92;89
Kostolne Kracany;1 160;436;37,58;436;435
Kralovicove Kracany;899;293;32,59;293;291
Kutniky;1 155;448;38,78;448;445
Kvetoslavov;1 262;799;63,31;799;795
Kyselica;160;72;45;72;72
Lehnice;2 315;888;38,35;886;876
Luc na Ostrove;614;217;35,34;217;217
Macov;325;195;60;195;193
Mad;466;178;38,19;178;175
Male Dvorniky;941;386;41,02;386;385
Medvedov;483;129;26,7;129;129
Mierovo;361;202;55,95;202;202
Michal na Ostrove;820;316;38,53;316;311
Narad;540;193;35,74;193;186
Novy Zivot;1 836;674;36,71;674;664
Ohrady;1 120;299;26,69;299;298
Okoc;3 100;605;19,51;605;575
Oldza;403;210;52,1;210;209
Orechova Poton;1 463;456;31,16;456;453
Padan;740;186;25,13;186;186
Patas;658;102;15,5;102;102
Potonske Luky;229;87;37,99;87;86
Povoda;803;272;33,87;272;269
Rohovce;922;400;43,38;399;394
Sap;441;121;27,43;121;119
Samorin;10 981;5 058;46,06;5 058;5 027
Stvrtok na Ostrove;1 437;631;43,91;631;626
Topolniky;2 578;721;27,96;721;713
Trhova Hradska;1 860;505;27,15;505;501
Trnavka;418;196;46,88;196;196
Trstena na Ostrove;498;176;35,34;176;170
Velka Paka;776;420;54,12;420;417
Velke Blahovo;1 241;326;26,26;326;323
Velke Dvorniky;1 047;305;29,13;305;300
Velky Meder;7 097;1 570;22,12;1 570;1 561
Vieska;360;160;44,44;160;159
Vojka nad Dunajom;410;212;51,7;212;210
Vrakun;2 255;715;31,7;714;705
Vydrany;1 451;433;29,84;433;425
Zlate Klasy;2 753;532;19,32;532;529
Abraham;905;527;58,23;527;527
Cierna Voda;1 147;564;49,17;564;555
Cierny Brod;1 372;430;31,34;430;426
Dolna Streda;1 289;731;56,71;731;721
Dolne Saliby;1 721;570;33,12;564;555
Dolny Chotar;300;74;24,66;74;73
Galanta;12 474;5 936;47,58;5 928;5 902
Gan;684;368;53,8;368;367
Horne Saliby;2 671;1 030;38,56;1 030;1 015
Hoste;393;215;54,7;215;214
Janovce;406;223;54,92;223;223
Jelka;3 357;1 129;33,63;1 129;1 117
Kajal;1 249;465;37,22;465;464
Kosuty;1 403;571;40,69;571;559
Kralov Brod;907;268;29,54;268;264
Mala Maca;499;232;46,49;232;229
Matuskovo;1 888;953;50,47;953;946
Mostova;1 339;485;36,22;485;484
Pata;2 637;1 271;48,19;1 271;1 259
Puste Sady;530;256;48,3;256;253
Puste Ulany;1 443;735;50,93;735;725
Sered;13 365;6 528;48,84;6 528;6 495
Sladkovicovo;4 405;1 783;40,47;1 783;1 780
Salgocka;390;192;49,23;192;189
Sintava;1 468;822;55,99;822;820
Soporna;3 451;1 555;45,05;1 555;1 547
Tomasikovo;1 331;389;29,22;389;384
Topolnica;694;369;53,17;369;367
Trstice;3 214;973;30,27;973;969
Vahovce;1 743;637;36,54;637;633
Velka Maca;2 131;787;36,93;787;780
Velke Ulany;3 766;1 573;41,76;1 573;1 565
Velky Grob;1 122;562;50,08;562;559
Vinohrady nad Vahom;1 365;660;48,35;660;658
Vozokany;967;348;35,98;348;346
Zemianske Sady;689;301;43,68;301;300
Banka;1 853;1 002;54,07;1 002;999
Basovce;277;169;61,01;169;168
Borovce;867;450;51,9;450;447
Dolny Lopasov;819;411;50,18;411;410
Drahovce;2 168;1 118;51,56;1 117;1 111
Dubovany;828;412;49,75;412;410
Ducove;370;217;58,64;217;212
Hubina;434;222;51,15;222;222
Chtelnica;2 156;1 295;60,06;1 294;1 286
Kocin - Lancar;433;241;55,65;241;239
Krakovany;1 162;679;58,43;679;678
Moravany nad Vahom;1 915;1 055;55,09;1 055;1 044
Nizna;463;255;55,07;255;255
